2025-03-15 18:02:22, Class: 2, Confidence: 0.95, Sort As: Garbage
2025-03-15 18:02:33, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:02:34, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:02:34, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:02:35, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:02:35, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:02:35, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:02:54, Class: 3, Confidence: 0.63, Sort As: Recycling
2025-03-15 18:02:55, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:02:56, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:02:57, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:02:58, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:02:58, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 18:03:01, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:03:02, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:03:02, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:03:03, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:03:03, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 18:03:03, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 18:17:47, Class: 1, Confidence: 0.67, Sort As: Can
2025-03-15 18:17:49, Class: 1, Confidence: 0.62, Sort As: Can
2025-03-15 18:17:49, Class: 1, Confidence: 0.91, Sort As: Can
2025-03-15 18:17:50, Class: 1, Confidence: 0.92, Sort As: Can
2025-03-15 18:17:53, Class: 1, Confidence: 0.90, Sort As: Can
2025-03-15 18:17:54, Class: 1, Confidence: 0.96, Sort As: Can
2025-03-15 18:17:54, Class: 1, Confidence: 0.94, Sort As: Can
2025-03-15 18:17:55, Class: 1, Confidence: 0.94, Sort As: Can
2025-03-15 18:17:55, Class: 1, Confidence: 0.92, Sort As: Can
2025-03-15 18:18:08, Class: 2, Confidence: 0.55, Sort As: Garbage
2025-03-15 18:18:10, Class: 1, Confidence: 0.55, Sort As: Can
2025-03-15 18:18:11, Class: 2, Confidence: 0.44, Sort As: Garbage
2025-03-15 18:18:12, Class: 2, Confidence: 0.36, Sort As: Garbage
2025-03-15 18:18:12, Class: 3, Confidence: 0.50, Sort As: Recycling
